Id,date,org,tld,ccs,bcced,mail_type,images,urls,salutations,designation,chars_in_subject,chars_in_body,label
19,"Wed, 13 Apr 2016 17:16:40 +0530",iiitd,ac.in,0,0,multipart/alternative,0,2,1,1,30,3462,0
20,"Wed, 4 Nov 2015 16:34:36 +0530",iiitd,ac.in,1,0,multipart/alternative,0,3,1,0,42,3776,0
21,"Thu, 12 Feb 2015 04:11:13 +0000 (UTC)",quora,com,0,0,multipart/alternative,0,100,1,0,74,81351,1
22,"Sun, 13 Mar 2016 03:59:38 -0700 (PDT)",quora,com,0,0,multipart/alternative,6,105,1,0,93,84217,1
23,"Sat, 31 Oct 2015 16:39:16 +0530",iiitd,ac.in,0,0,multipart/alternative,1,8,1,1,52,31850,0
24,"Tue, 6 Mar 2018 10:14:56 +0530 (IST)",indiatimes,com,0,0,text/html,12,143,1,1,65,60746,1
25,"Wed, 19 Aug 2015 22:12:12 +0530",iiitd,ac.in,13,0,multipart/alternative,0,18,1,1,41,11078,0
26,"Mon, 15 Aug 2016 09:05:44 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,11,31,0,0,50,30269,1
27,"Fri, 04 Aug 2017 20:35:50 +0000",twitter,com,0,0,multipart/alternative,43,207,0,1,70,97598,1
28,"Fri, 5 Oct 2018 10:15:43 +0000",centralesupelec,fr,0,0,text/html,4,16,0,0,74,9905,0
29,"Tue, 11 Sep 2018 00:24:47 +0000",amazon,in,0,0,multipart/alternative,16,283,1,0,32,159934,1
30,"Thu, 12 May 2016 11:56:02 +0530",iiitd,ac.in,1,0,multipart/alternative,0,3,1,0,42,5616,0
31,"Wed, 13 Jul 2016 01:24:45 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,9,41,0,0,115,41432,1
32,"Fri, 7 Jul 2017 14:43:59 +0530",iiitd,ac.in,4,1,multipart/mixed,0,0,1,0,28,3705789,0
33,"Tue, 03 May 2016 02:05:37 -0700 (PDT)",quora,com,0,0,multipart/alternative,8,104,1,1,56,84596,1
34,"Tue, 21 Jun 2016 12:06:12 +0530",iiitd,ac.in,2,0,multipart/alternative,0,0,1,0,27,1654,0
35,"Mon, 25 May 2015 05:44:56 -0700 (PDT)",plus,google.com,0,0,multipart/alternative,15,41,0,0,35,14277,1
36,"Tue, 2 May 2017 09:27:03 +0530",iiitd,ac.in,0,0,multipart/alternative,0,3,1,0,37,1253,0
37,"Thu, 7 Apr 2016 04:22:28 -0000",crm,sdconnect.in,0,0,multipart/alternative,20,103,0,0,48,18945,1
38,"Sun, 29 Jul 2018 05:06:00 -0700 (PDT)",quora,com,0,0,multipart/alternative,12,115,1,0,50,105902,1
39,"Sat, 27 Jan 2018 15:29:29 +0530",iiitd,ac.in,0,0,multipart/alternative,3,28,0,0,70,25520,1
40,"Sat, 26 Aug 2017 14:42:45 +0530",iiitd,ac.in,8,0,multipart/alternative,0,0,1,0,35,14063,0
41,"Thu, 19 Oct 2017 11:24:20 +0530",iiitd,ac.in,0,0,multipart/alternative,0,4,1,0,39,13379,0
42,"Tue, 8 Sep 2015 14:27:58 +0530",iiitd,ac.in,0,0,multipart/alternative,1,1,1,0,64,1254,0
43,"Wed, 12 Apr 2017 08:35:57 -0700 (PDT)",quora,com,0,0,multipart/alternative,8,110,1,0,130,97273,1
44,"Tue, 2 May 2017 09:35:10 +0530",iiitd,ac.in,0,0,text/plain,0,1,1,0,18,3393,0
45,"Wed, 19 Apr 2017 20:25:43 -0700",e,linkedin.com,0,0,multipart/mixed,0,0,0,0,26,4,1
46,"Sat, 9 Dec 2017 09:47:36 +0100",reply,ebay.in,0,0,multipart/alternative,30,117,0,0,47,76560,1
47,"Fri, 22 Jul 2016 07:19:11 -0700 (PDT)",quora,com,0,0,multipart/alternative,12,107,1,1,113,87978,1
48,"Fri, 09 Feb 2018 14:30:54 +0000 (UTC)",angel,co,0,0,text/html,1,33,0,0,52,32435,1
49,"Fri, 4 Aug 2017 03:37:55 +0000",amazon,in,0,0,multipart/mixed,0,0,0,0,26,4,1
50,"Tue, 30 Aug 2016 13:02:30 +0530",iiitd,ac.in,3,0,multipart/alternative,0,1,1,1,54,11600,0
51,"Thu, 15 Sep 2016 17:13:47 +0530",emailer,cardekho.com,0,0,text/html,38,102,1,0,60,69001,1
52,"Wed, 8 Nov 2017 16:53:58 +0530",iiitd,ac.in,0,0,multipart/mixed,0,10,1,1,64,2000002,0
53,"Sun, 14 Dec 2014 23:13:05 -0800 (PST)",plus,google.com,0,0,multipart/alternative,11,28,0,0,33,8067,1
54,"Wed, 19 Oct 2016 10:19:55 +0000",youtube,com,0,0,multipart/alternative,19,72,1,0,82,64388,1
55,"Thu, 7 May 2015 22:26:38 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,8,23,1,0,45,32704,1
56,"Thu, 20 Jul 2017 10:14:43 +0000",twitter,com,0,0,multipart/alternative,7,64,0,0,70,38675,1
57,"Tue, 27 Sep 2016 10:26:04 -0000",crm,sdconnect.in,0,0,multipart/alternative,26,123,0,0,26,24025,1
58,"Thu, 27 Apr 2017 17:22:20 +0530",iiitd,ac.in,7,0,multipart/alternative,0,3,1,0,56,3412,0
59,"Fri, 11 May 2018 15:51:23 +0530",mails,travel-makemytrip.com,0,0,multipart/alternative,11,70,1,0,41,32206,1
60,"Wed, 6 Feb 2019 10:48:48 +0530",iiitd,ac.in,0,0,multipart/alternative,0,4,1,0,102,10921,0
61,"Sun, 28 Feb 2016 13:33:30 +0000",usebackpack,com,0,0,multipart/alternative,4,19,0,0,37,27551,1
62,"Mon, 5 Feb 2018 11:33:32 +0000",amazon,in,0,0,multipart/mixed,0,0,0,0,51,4,1
63,"Mon, 25 Sep 2017 09:39:17 +0530",iiitd,ac.in,0,0,multipart/alternative,0,1,1,0,21,4534,0
64,"Fri, 14 Dec 2018 13:28:36 +0000",hotmail,fr,0,0,multipart/alternative,0,7,1,0,15,2877,0
65,"Mon, 14 Aug 2017 11:44:36 +0530",iiitd,ac.in,0,0,multipart/alternative,0,9,1,1,36,12687,0
66,"Tue, 22 Jan 2019 08:22:30 +0000 (UTC)",medium,com,0,0,multipart/alternative,25,171,1,0,137,77349,1
67,"Mon, 2 Apr 2018 04:34:19 +0000",amazon,in,0,0,multipart/alternative,6,92,0,0,59,41111,1
68,"Tue, 6 Nov 2018 01:05:13 +0000",amazon,in,0,0,multipart/alternative,11,216,0,0,27,122745,1
69,"Tue, 7 Mar 2017 01:35:22 +0000",amazon,in,0,0,multipart/mixed,0,0,0,0,38,4,1
70,"Tue, 2 Oct 2018 10:57:17 +0200",centralesupelec,fr,0,0,multipart/mixed,0,0,1,0,119,287884,0
71,"Mon, 18 Sep 2017 13:45:04 +0000",twitter,com,0,0,multipart/alternative,11,57,0,1,60,37017,1
72,"Mon, 19 Dec 2016 12:06:12 +0530",iiitd,ac.in,0,0,multipart/alternative,1,1,1,0,36,1775,0
73,"Thu, 11 Aug 2016 12:58:52 +0530",iiitd,ac.in,0,0,multipart/alternative,2,61,1,0,48,30272,0
74,"Fri, 17 Oct 2014 21:29:14 +0000",twitter,com,0,0,multipart/alternative,11,103,0,0,192,56337,1
75,"Thu, 10 Mar 2016 04:45:44 +0000",usebackpack,com,0,0,multipart/alternative,4,19,0,0,38,27030,1
76,"Tue, 01 Sep 2015 22:00:39 +0000",youtube,com,0,0,multipart/alternative,26,95,0,0,66,69420,1
77,"Sun, 05 Nov 2017 02:36:32 -0800 (PST)",quora,com,0,0,multipart/alternative,14,112,0,1,118,101301,1
78,"Tue, 21 Feb 2017 05:17:06 +0000",topcoder,com,0,0,multipart/alternative,17,101,0,0,42,120392,1
79,"Wed, 15 Feb 2017 10:09:21 +0530",iiitd,ac.in,3,0,multipart/alternative,1,1,1,0,62,3183,0
80,"Mon, 26 Sep 2016 13:31:30 +0000",symless,com,0,0,multipart/alternative,6,30,0,0,126,44800,1
81,"Sat, 7 Oct 2017 13:57:46 +0530",iiitd,ac.in,0,0,multipart/mixed,0,8,1,0,39,1062944,0
82,"Mon, 31 Oct 2016 07:24:59 -0700 (PDT)",quora,com,0,0,multipart/alternative,12,101,1,0,133,82797,1
83,"Wed, 20 Sep 2017 16:10:26 +0000 (UTC)",flipkartletters,com,0,0,text/html,35,83,1,0,116,59152,1
84,"Mon, 16 Nov 2015 01:23:02 +0530",iiitd,ac.in,4,0,multipart/alternative,0,7,1,0,60,7749,0
85,"Fri, 05 May 2017 12:20:05 +0000",twitter,com,0,0,multipart/alternative,34,223,0,0,113,106154,1
86,"Thu, 20 Jul 2017 18:37:53 +0000",getpostman,com,0,0,multipart/alternative,1,34,0,0,40,26498,1
87,"Sat, 16 Jul 2016 10:36:43 +0530",iiitd,ac.in,3,0,multipart/alternative,0,0,0,0,34,438,0
88,"Sun, 5 Nov 2017 12:58:44 +0000",amazon,in,0,0,multipart/alternative,3,32,0,1,71,18072,1
89,"Mon, 08 Oct 2018 15:24:02 +0000",discuss,pytorch.org,0,0,multipart/alternative,53,114,0,0,24,73546,1
90,"Wed, 26 Oct 2016 18:24:14 +0530",iiitd,ac.in,6,0,multipart/alternative,14,42,1,0,23,34470,0
91,"Thu, 26 Oct 2017 02:36:36 +0000",amazon,in,0,0,multipart/mixed,0,0,0,0,26,4,1
92,15 Mar 2016 23:19:44 -0400,oracle-mail,com,0,0,multipart/alternative,4,31,1,0,32,14455,1
93,"Wed, 30 Aug 2017 19:01:01 +0000",academia-mail,com,0,0,multipart/alternative,9,38,0,0,41,52940,1
94,"Mon, 13 Nov 2017 07:00:47 +0000 (UTC)",github,com,1,0,multipart/alternative,2,11,0,1,49,2428,0
95,"Thu, 4 Oct 2018 12:39:49 +0530",statebankrewardz,com,0,0,text/html,3,18,0,0,42,7431,1
96,"Tue, 1 Sep 2015 22:47:45 +0530",iiitd,ac.in,2,0,multipart/alternative,0,0,1,0,48,1863,0
97,"Tue, 11 Jul 2017 12:28:44 -0400 (EDT)",edx,org,0,0,multipart/alternative,24,83,0,0,38,88226,1
98,"Sat, 21 Apr 2018 11:56:06 +0000",amazon,in,0,0,multipart/alternative,32,259,1,0,39,228943,1
99,"Mon, 16 Jul 2018 06:43:15 +0000",amazon,in,0,0,multipart/alternative,29,256,0,0,31,116494,1
100,"Fri, 12 May 2017 10:51:02 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,3,24,0,0,29,21356,1
101,"Tue, 15 Nov 2016 19:36:23 +0530",iiitd,ac.in,0,0,multipart/alternative,0,0,1,0,45,6291,0
102,"Sun, 21 Aug 2016 00:12:33 +0000",amazon,in,0,0,multipart/mixed,0,0,0,0,30,4,1
103,"Fri, 4 Sep 2015 09:23:38 +0530",iiitd,ac.in,0,0,text/plain,0,0,0,0,16,337,0
104,"Thu, 29 Jun 2017 03:51:05 +0000 (UTC)",flipkartletters,com,0,0,text/html,29,71,0,0,64,48612,1
105,"Wed, 15 Aug 2018 23:28:00 +0000",duolingo,com,0,0,multipart/alternative,34,78,0,0,17,99827,1
106,"Fri, 18 Aug 2017 00:06:42 +0000",amazon,in,0,0,multipart/mixed,0,0,0,0,37,4,1
107,"Tue, 17 Jan 2017 13:08:28 +0530",iiitd,ac.in,3,0,multipart/alternative,0,2,1,0,30,3382,0
108,"Thu, 25 Aug 2016 07:36:16 +0530",pvrcinemas,com,0,0,text/html,55,113,0,0,37,34121,1
109,"Wed, 30 Aug 2017 13:09:12 +0000 (UTC)",hackerearth,com,0,0,multipart/alternative,3,12,0,0,96,9733,1
110,"Fri, 9 Mar 2018 09:05:57 +0100",reply,ebay.in,0,0,multipart/alternative,34,130,0,0,67,88179,1
111,"Sat, 12 Mar 2016 11:18:58 +0530",iiitd,ac.in,6,0,multipart/alternative,0,3,1,0,46,2437,0
112,"Fri, 7 Jul 2017 11:34:07 +0200",unisys,com,0,0,multipart/alternative,2,14,0,0,87,8547,1
113,"Mon, 5 Dec 2016 10:14:21 +0530",iiitd,ac.in,3,0,multipart/alternative,2,18,1,0,66,10084,0
114,"Fri, 19 Jan 2018 14:02:40 +0000 (UTC)",udacity,com,0,0,multipart/alternative,19,58,0,0,67,77480,1
115,"Thu, 1 Dec 2016 13:44:24 +0530",iiitd,ac.in,3,0,multipart/alternative,0,3,1,0,49,11079,0
116,"Fri, 30 Sep 2016 17:16:11 +0530",iiitd,ac.in,3,0,multipart/alternative,0,1,1,0,14,3046,0
117,"Sun, 28 Sep 2014 10:38:07 -0700",facebookmail,com,0,0,multipart/alternative,1,6,0,0,24,7019,1
118,"Thu, 11 Feb 2016 18:41:39 +0530",iiitd,ac.in,4,0,multipart/alternative,0,0,1,0,23,2978,0
119,"Tue, 15 May 2018 15:54:15 +0000",amazon,in,0,0,multipart/alternative,42,349,0,0,29,151734,1
120,"Sat, 18 Nov 2017 00:13:12 +0000",amazon,in,0,0,multipart/alternative,9,120,0,0,32,60811,1
121,"Fri, 31 Mar 2017 13:21:27 -0000",crm,sdconnect.in,0,0,multipart/alternative,25,122,0,0,56,23683,1
122,"Wed, 29 Apr 2015 00:03:46 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,6,94,1,0,50,112994,1
123,"Tue, 12 Feb 2019 15:44:25 +0000",centralesupelec,fr,0,0,multipart/related,0,0,0,0,130,293856,0
124,"Tue, 08 May 2018 17:44:35 +0000 (UTC)",quora,com,0,0,multipart/alternative,14,104,0,1,126,101226,1
125,"Sat, 20 May 2017 00:05:42 +0000",amazon,in,0,0,multipart/alternative,5,113,0,0,32,50578,1
126,"Tue, 14 Nov 2017 16:41:24 +0000 (UTC)",brilliant,org,0,0,multipart/alternative,5,27,0,0,46,42123,1
127,"Mon, 28 Aug 2017 13:10:00 -0700",youtube,com,0,0,multipart/alternative,7,21,0,0,101,22257,1
128,"Mon, 11 Sep 2017 08:38:22 +0000",htc,com,0,0,multipart/alternative,14,67,0,0,72,89228,1
129,"Wed, 29 Nov 2017 22:31:48 +0530",iiitd,ac.in,3,0,multipart/alternative,1,3,1,0,108,5370,0
130,"Sat, 31 Mar 2018 06:32:19 +0000",mailer,netflix.com,0,0,multipart/alternative,12,57,0,0,45,39881,1
131,"Thu, 13 Oct 2016 10:54:39 +0530",iiitd,ac.in,3,0,multipart/mixed,0,0,0,0,23,60887,0
132,"Wed, 19 Oct 2016 16:04:10 +0530",iiitd,ac.in,4,0,multipart/alternative,0,3,1,0,63,3771,0
133,"Thu, 29 Jun 2017 09:46:49 +0000",mail,goodreads.com,0,0,multipart/mixed,0,0,0,0,17,4,1
134,"Wed, 10 Oct 2018 12:45:28 +0000",redwolf,in,0,0,multipart/alternative,5,22,0,0,42,5233,1
135,"Tue, 18 Dec 2018 01:24:04 +0000",amazon,fr,0,0,multipart/alternative,17,192,1,0,99,75733,1
136,"Tue, 01 Mar 2016 09:21:45 +0000",,,0,0,multipart/alternative,1,20,1,0,51,14689,0
137,"Wed, 25 May 2016 00:38:50 +0530",iiitd,ac.in,2,0,multipart/alternative,1,9,1,0,23,9438,0
138,"Thu, 20 Apr 2017 21:30:56 -0500 (CDT)",amazon,com,0,0,multipart/alternative,25,141,0,0,52,68121,1
139,"Tue, 09 Jan 2018 05:23:43 +0000 (UTC)",udacity,com,0,0,multipart/alternative,19,36,1,0,94,48438,1
140,"Wed, 12 Aug 2015 09:05:02 +0530",iiitd,ac.in,2,0,multipart/mixed,0,0,0,0,41,40144,0
141,"Thu, 29 Sep 2016 09:25:29 +0530",iiitd,ac.in,1,0,multipart/alternative,0,0,1,0,62,14061,0
142,"Sat, 5 Sep 2015 11:00:52 +0530",iiitd,ac.in,3,0,multipart/alternative,1,12,1,0,40,13832,0
143,"Mon, 25 Apr 2016 13:51:30 +0000",youtube,com,0,0,multipart/alternative,10,44,1,0,59,39544,1
144,"Sun, 22 Oct 2017 12:25:29 +0530",iiitd,ac.in,0,0,multipart/alternative,0,2,1,0,45,8009,0
145,"Thu, 09 Mar 2017 11:06:15 -0800 (PST)",quora,com,0,0,multipart/alternative,8,111,1,0,91,97959,1
146,"Wed, 14 Nov 2018 10:22:59 +0000",centralesupelec,fr,0,0,text/html,0,3,1,0,176,3490,0
147,"Fri, 01 Apr 2016 06:05:00 -0700",mentor,com,0,0,multipart/alternative,0,15,1,0,34,4133,1
148,"Sat, 01 Nov 2014 17:49:25 +0000",youtube,com,0,0,multipart/alternative,19,73,0,0,93,53172,1
149,"Sun, 26 Jul 2015 13:43:55 +0000",iiitd,ac.in,0,0,multipart/alternative,2,9,1,0,53,6143,0
150,"Thu, 15 Oct 2015 15:24:33 +0530",iiitd,ac.in,0,0,multipart/related,0,6,1,0,59,3706752,0
151,"Sat, 6 Oct 2018 00:21:18 +0000",amazon,in,0,0,multipart/alternative,24,145,0,0,42,69319,1
152,"Wed, 31 Aug 2016 04:00:05 +0000 (UTC)",researchgate,net,0,0,multipart/alternative,4,26,0,0,36,16658,1
153,"Fri, 23 Sep 2016 04:05:25 -0000",crm,sdconnect.in,0,0,multipart/alternative,23,114,1,0,42,23055,1
154,"Fri, 17 Apr 2015 03:55:37 +0000 (UTC)",quora,com,0,0,multipart/alternative,0,10,1,0,150,3431,1
155,"Wed, 19 Jul 2017 01:08:26 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,13,113,0,0,70,88171,1
156,"Sat, 10 Feb 2018 11:52:28 +0000",twitter,com,0,0,multipart/alternative,11,33,0,0,57,16428,1
157,"Mon, 4 Apr 2016 14:28:45 +0530",iiitd,ac.in,0,0,multipart/alternative,1,4,1,1,70,9320,0
158,"Mon, 03 Apr 2017 14:16:55 +0000",twitter,com,0,0,multipart/alternative,24,197,0,0,42,94049,1
159,"Wed, 7 Feb 2018 07:39:07 +0000",htc,com,0,0,multipart/alternative,9,30,0,0,88,52521,1
160,"Fri, 20 Jul 2018 12:32:38 +0530",rs-components,co.in,0,0,multipart/alternative,17,95,0,0,40,25900,1
161,"Sun, 28 Apr 2019 11:27:20 -0500 (CDT)",nvidia,com,0,0,multipart/alternative,9,33,0,0,57,37144,1
162,"Mon, 31 Jul 2017 17:43:23 +0530",iiitd,ac.in,1,0,multipart/alternative,0,9,1,1,38,8114,0
163,"Thu, 11 Aug 2016 16:24:24 +0530",iiitd,ac.in,3,0,multipart/alternative,0,0,1,0,21,2126,0
164,"Mon, 17 Aug 2015 13:01:41 -0600",mail1,prezi.com,0,0,text/html,6,32,0,0,53,18589,1
165,"Tue, 30 Aug 2016 16:27:46 +0530",iiitd,ac.in,3,0,multipart/alternative,0,1,1,1,18,5791,0
166,"Wed, 7 Sep 2016 02:18:13 +0800",nedm,asus.com,0,0,multipart/alternative,3,24,0,0,33,10161,1
167,"Tue, 14 Jun 2016 10:31:52 +0530",iiitd,ac.in,2,0,multipart/alternative,0,1,1,0,40,349105,0
168,"Wed, 13 Dec 2017 14:48:02 +0000 (UTC)",udacity,com,0,0,multipart/alternative,12,43,1,0,91,53462,1
169,"Sat, 29 Jul 2017 21:38:33 -0700 (PDT)",quora,com,0,0,multipart/alternative,12,118,0,0,75,104056,1
170,"Thu, 14 Dec 2017 10:36:38 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,3,36,0,0,45,24390,1
171,"Thu, 16 Mar 2017 21:24:31 +0530",iiitd,ac.in,3,0,multipart/alternative,0,0,1,0,27,1045,0
172,"Sun, 25 Oct 2015 22:16:01 +0530",iiitd,ac.in,0,0,multipart/alternative,0,3,1,0,26,1451,0
173,"Mon, 23 Nov 2015 11:01:55 +0530",iiitd,ac.in,2,0,multipart/alternative,0,4,1,0,55,7094,0
174,"Tue, 25 Aug 2015 17:36:10 +0530",iiitd,ac.in,0,0,multipart/mixed,0,0,1,0,14,2055674,0
175,"Tue, 15 Nov 2016 11:07:36 +0530",iiitd,ac.in,0,0,multipart/alternative,2,8,1,0,71,6056,0
176,"Thu, 4 Feb 2016 15:23:18 +0530",iiitd,ac.in,8,0,multipart/alternative,0,2,0,0,30,2337,0
177,"Fri, 28 Dec 2018 17:38:17 +0530",iiitd,ac.in,2,0,multipart/alternative,0,0,1,0,23,3045,0
178,"Fri, 20 Oct 2017 22:23:39 +0530",iiitd,ac.in,2,0,multipart/alternative,0,4,1,0,45,1483,0
179,"Sat, 10 Feb 2018 00:09:24 +0530",newsletter,speakingtree.in,0,0,multipart/alternative,12,88,1,0,49,39583,1
180,"Wed, 22 Aug 2018 08:06:55 +0000",geeksforgeeks,org,0,0,multipart/alternative,5,26,0,0,46,22733,1
181,"Fri, 21 Apr 2017 11:09:59 +0530",iiitd,ac.in,1,0,multipart/alternative,1,1,1,0,54,3163,0
182,"Tue, 26 Jul 2016 13:49:31 +0530",iiitd,ac.in,1,0,multipart/alternative,0,1,0,0,42,4032,0
183,"Tue, 14 Feb 2017 13:57:47 +0530",iiitd,ac.in,0,0,multipart/mixed,0,0,1,0,31,193851,0
184,"Fri, 16 Jun 2017 16:02:35 +0530 (IST)",sampark,gov.in,0,0,text/html,20,46,0,0,25,27040,1
185,"Thu, 13 Apr 2017 07:32:47 +0000",notifications,pinterest.com,0,0,multipart/alternative,8,44,0,0,56,46341,1
186,"Wed, 18 May 2016 07:51:14 +0000",amazon,com,0,0,multipart/alternative,11,109,0,0,33,52534,1
187,"Wed, 5 Aug 2015 15:36:46 +0530",iiitd,ac.in,2,0,multipart/alternative,1,4,1,0,53,6175,0
188,"Wed, 09 Mar 2016 09:50:11 +0000",twitter,com,0,0,multipart/alternative,20,146,0,0,140,75593,1
189,"Sun, 24 Sep 2017 14:28:58 +0530",ruprr,info,0,0,multipart/alternative,1,7,0,0,52,2628,1
190,"Sun, 19 Aug 2018 00:05:48 +0000",amazon,in,0,0,multipart/alternative,24,145,0,0,42,69212,1
191,"Thu, 18 Sep 2014 16:36:38 +0000",twitter,com,0,0,multipart/alternative,11,121,1,0,109,55317,1
192,"Sun, 30 Oct 2016 18:37:03 +0000",iiitd,ac.in,0,0,multipart/alternative,0,26,1,0,33,14999,0
193,"Thu, 06 Sep 2018 11:11:37 +0530",mails,travel-makemytrip.com,0,0,multipart/alternative,15,47,0,0,21,12253,1
194,"Wed, 05 Jun 2019 11:09:27 +0000",airtable-2,intercom-mail.com,0,0,multipart/alternative,17,53,1,0,27,41541,1
195,"Sat, 21 Apr 2018 01:31:25 +0000 (UTC)",flipkartletters,com,0,0,text/html,24,61,0,0,44,50733,1
196,"Thu, 6 Oct 2016 11:56:09 +0530",iiitd,ac.in,0,0,multipart/alternative,0,51,1,0,36,21142,0
197,"Tue, 9 Aug 2016 11:19:57 +0530",iiitd,ac.in,0,0,multipart/alternative,1,10,1,0,24,5277,0
198,"Mon, 14 Mar 2016 17:34:04 +0530",iiitd,ac.in,0,0,multipart/alternative,0,0,0,0,52,1255,0
199,"Mon, 3 Oct 2016 07:39:54 +0530",iiitd,ac.in,0,0,multipart/alternative,0,0,1,0,18,553,0
200,"Thu, 12 Nov 2015 21:59:26 +0530",iiitd,ac.in,0,0,multipart/alternative,0,6,0,0,49,5941,0
201,"Tue, 06 Mar 2018 07:19:52 -0800 (PST)",quora,com,0,0,multipart/alternative,17,107,1,0,125,101677,1
202,"Thu, 25 Aug 2016 15:52:43 +0530",iiitd,ac.in,0,0,multipart/related,0,4,0,0,39,746270,0
203,"Sun, 19 Nov 2017 00:13:07 +0000",amazon,in,0,0,multipart/alternative,9,120,0,0,31,60684,1
204,"Tue, 07 Jun 2016 09:47:36 +0000",youtube,com,0,0,multipart/alternative,17,63,0,0,100,56517,1
205,"Sat, 22 Jul 2017 01:04:05 -0600",news,foodpanda.in,0,0,multipart/alternative,15,50,0,0,103,55104,1
206,"Thu, 18 Sep 2014 18:26:05 +0000 (UTC)",quora,com,0,0,multipart/alternative,1,15,1,0,44,5068,1
207,"Fri, 16 Jan 2015 06:27:43 +0000 (UTC)",quora,com,0,0,multipart/alternative,0,96,1,0,98,81124,1
208,"Tue, 2 Oct 2018 12:37:32 +0000",redwolf,in,0,0,multipart/alternative,10,31,1,0,49,6955,1
209,"Wed, 14 Sep 2016 21:09:38 +0800",nedm,asus.com,0,0,multipart/alternative,3,24,0,0,32,9921,1
210,"Tue, 21 Aug 2018 20:05:32 +0530",marketing,goindigo.in,0,0,multipart/alternative,9,50,1,0,33,35210,1
211,"Mon, 13 Jun 2016 09:14:01 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,11,28,0,0,50,24162,1
212,"Wed, 31 May 2017 11:48:12 +0530",iiitd,ac.in,4,0,multipart/alternative,0,0,1,0,51,6045,0
213,"Thu, 10 Nov 2016 11:08:48 +0530",iiitd,ac.in,1,0,multipart/alternative,0,4,1,0,26,29902,0
214,"Tue, 31 Oct 2017 12:56:20 +0530 (IST)",sampark,gov.in,0,0,text/html,49,104,0,0,39,28809,1
215,"Tue, 1 Mar 2016 22:00:07 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,9,25,1,0,44,22696,1
216,"Thu, 28 Aug 2014 19:07:10 +0000",twitter,com,0,0,multipart/alternative,14,117,0,0,606,60531,1
217,"Thu, 15 Sep 2016 08:37:22 +0000",twitter,com,0,0,multipart/alternative,31,192,0,0,84,99235,1
218,"Fri, 26 Jan 2018 04:12:00 +0000 (UTC)",github,com,1,0,multipart/alternative,2,23,0,0,64,3918,0
219,"Wed, 16 Nov 2016 11:19:53 +0530",iiitd,ac.in,2,0,multipart/alternative,0,1,1,0,32,16261,0
